3,3,3,3,3,3,3,3,3,3,5,5,5,4,4,5
3,3,3,3,3,3,3,3,3,3,5,5,5,4,4,5
3,3,3,3,3,3,5,5,5,5,5,5,5,4,4,5
5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,5
5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,5
5,5,5,5,5,5,7,7,7,5,5,5,5,4,4,5
5,5,5,5,5,7,8,8,8,7,5,5,5,4,4,5
3,5,5,5,5,7,8,6,8,7,5,5,5,4,4,5
3,5,5,0,0,7,8,8,8,7,5,5,5,4,4,5
3,5,5,0,0,5,7,7,7,5,5,5,9,9,9,5
3,5,5,5,5,5,5,2,1,5,5,5,9,9,9,5
3,3,3,5,5,5,5,1,2,5,5,5,4,4,5,5
3,3,3,5,5,5,5,5,5,5,5,4,4,5,5,5
3,3,3,5,5,5,5,5,5,5,4,4,5,5,5,5
3,3,5,5,5,5,5,5,5,4,4,5,5,5,5,5
3,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5
4,100,0,100,1000
